"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"154","1553167_a_at",0.5689012395277,0.0792831249041216,3.660328619117,0.00060026535093609,0.00267826897849116,-1.22069684051305,"SEPSECS","Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase"
"421","1555140_a_at",-0.58975343550332,-0.16137935355415,-3.65977465882537,0.000601290972696288,0.00268262618785553,-1.22232224180253,"BCL2L2","BCL2 like 2"
"12851","230746_s_at",-1.30585336652713,-0.159273199445234,-3.6597404749273,0.000601354316948255,0.00268268988896425,-1.22242253773546,NA,NA
"10453","224750_at",-0.22690407731721,-0.0135675781931415,-3.65951424057728,0.000601773700254468,0.00268434176890047,-1.22308629811654,"RNF185","ring finger protein 185"
"8622","219289_at",0.383457237959048,0.0895261959257157,3.65929418827141,0.000602181892386983,0.0026859434627393,-1.22373189786403,"HEATR3","HEAT repeat containing 3"
"4727","208772_at",0.320042169524387,0.0843755608778668,3.65923219464853,0.000602296937064323,0.00268623746096679,-1.22391377359084,"ANKHD1","ankyrin repeat and KH domain containing 1"
"4728","208772_at",0.320042169524387,0.0843755608778668,3.65923219464853,0.000602296937064323,0.00268623746096679,-1.22391377359084,"ANKHD1-EIF4EBP3","ANKHD1-EIF4EBP3 readthrough"
"11191","226381_at",0.457064137928667,-0.0624504254892068,3.65897117093332,0.000602781562901846,0.00268817960453984,-1.22467954046864,NA,NA
"2813","203796_s_at",0.359216191086402,0.00143728969468607,3.65892895570947,0.000602859976263906,0.00268831002383403,-1.22480338455485,"BCL7A","BAF chromatin remodeling complex subunit BCL7A"
"15832","62212_at",0.297273594140812,0.0827657715655416,3.65868174181179,0.000603319364006413,0.00269013914753308,-1.22552860342918,"C1orf50","chromosome 1 open reading frame 50"
"5686","210961_s_at",-0.307698489877357,0.0141965333068557,-3.65857095110955,0.000603525350770792,0.00269083817609011,-1.22585360630998,"ADRA1D","adrenoceptor alpha 1D"
"3755","205758_at",-0.581875982836378,-0.153478941910684,-3.65824172615647,0.000604137857420266,0.00269334942550987,-1.22681934914435,"CD8A","CD8 subunit alpha"
